account_id,CP,win,loss,profit_loss,invested,transactions,win_loss_ratio,profit%
867318,EUR/JPY,24,15,-4760.0,15036524.0,204,0.62,-0.00032
867318,EUR/USD,506,114,-3561.0999999999894,7279267.67,7866,0.82,-0.00049
867318,GBP/JPY,118,39,-28442.000000000407,101838769.0,1139,0.75,-0.00028
867318,GBP/USD,780,183,-1291.6399999999737,10743399.12,10099,0.81,-0.00012
867318,GER/EUR,130,18,-710.3769999999699,1948401.05,2357,0.88,-0.00036
867318,HKI/HKD,20,6,-16993.20000000003,5038890.3,392,0.77,-0.00337
867318,NZD/USD,1,1,0.6100000000000136,1423.13,4,0.5,0.00043
867318,OIL/USD,38,20,131.24000000000103,55354.04,554,0.66,0.00237
867318,USA/USD,1,0,24.500000000003638,53838.5,10,1.0,0.00046
867318,USD/CAD,289,80,-1953.889999999996,12433820.09,8290,0.78,-0.00016
867318,USD/CHF,11,4,1.8099999999996044,36187.58,70,0.73,5e-05
867318,USD/HKD,0,1,-0.910000000000764,7837.240000000001,2,0.0,-0.00012
867318,USD/JPY,1002,222,-1220.0000000011787,1182122157.0,14647,0.82,-0.0
867318,XAG/USD,0,1,-5.899999999999949,341.6,4,0.0,-0.01727
867318,XAU/USD,1282,365,-13132.709999999966,29818963.669999998,26543,0.78,-0.00044
964295,AUD/CHF,5,0,92.44000000000005,11148.68,32,1.0,0.00829
964295,AUD/JPY,138,50,-131754.0,247254696.0,5877,0.73,-0.00053
964295,AUD/USD,7,2,-1450.3299999999972,180271.96,412,0.78,-0.00805
964295,CAD/JPY,105,32,159968.0,157830557.0,3576,0.77,0.00101
964295,CHF/JPY,30,15,-178567.0,90964429.0,1463,0.67,-0.00196
964295,EUR/JPY,289,48,-218038.75972000044,641741042.0,10147,0.86,-0.00034
964295,EUR/NZD,2,1,63.66999999999916,53457.16,62,0.67,0.00119
964295,EUR/USD,9,2,-450.0299999999993,957086.27,34,0.82,-0.00047
964295,EUR/ZAR,20,3,28936.47999999987,9519075.6,1070,0.87,0.00304
964295,GBP/JPY,28,4,154850.0,23528290.0,324,0.88,0.00658
964295,JPI/JPY,26,12,198168.0,61053575.0,582,0.68,0.00325
964295,NZD/JPY,119,72,5094.999999999913,149354073.0,3995,0.62,3e-05
964295,NZD/USD,13,2,137.27000000000044,35280.24,88,0.87,0.00389
964295,OIL/USD,7,2,5.151999999999994,636.893,26,0.78,0.00809
964295,USD/JPY,818,136,155154.0000000001,5081724499.0,89632,0.86,3e-05
964295,USD/MXN,33,14,-40781.54000000002,8612159.46,945,0.7,-0.00474
964295,XAU/USD,2,0,38.11999999999989,3467.1000000000004,4,1.0,0.01099
964295,ZAR/JPY,7,1,-12022.0,2606526.0,608,0.88,-0.00461
1153618,AUD/CAD,0,1,-2.1299999999998818,961.0699999999999,2,0.0,-0.00222
1153618,AUD/JPY,0,1,-66.0,95613.0,2,0.0,-0.00069
1153618,AUD/NZD,2,1,1.5899999999999181,3336.8,6,0.67,0.00048
1153618,AUD/USD,15,8,-12.000000000000455,34348.35,48,0.65,-0.00035
1153618,CAD/JPY,1,0,16.0,90185.0,2,1.0,0.00018
1153618,EUR/CHF,1,1,-64.75000000000182,52546.55,6,0.5,-0.00123
1153618,EUR/GBP,0,2,-5.259999999999877,8460.46,4,0.0,-0.00062
1153618,EUR/JPY,0,1,-196.0,138778.0,2,0.0,-0.00141
1153618,EUR/USD,126,105,2062.1600000000044,3372154.77,601,0.55,0.00061
1153618,GBP/AUD,19,10,32.860000000002856,114663.88,64,0.66,0.00029
1153618,GBP/CAD,3,2,12.15000000000191,20256.29,10,0.6,0.0006
1153618,GBP/CHF,0,1,-11.649999999999636,6772.25,2,0.0,-0.00172
1153618,GBP/JPY,3,2,-25.0,2171017.0,10,0.6,-1e-05
1153618,GBP/NZD,38,32,-202.49000000000387,338265.76,154,0.54,-0.0006
1153618,GBP/USD,166,192,-574.2100000000007,1430412.12,906,0.46,-0.0004
1153618,GER/EUR,1,0,0.3350000000000364,954.0350000000001,2,1.0,0.00035
1153618,NAS/USD,8,2,-63.66000000000213,61500.770000000004,30,0.8,-0.00104
1153618,NZD/USD,8,3,-6.030000000000086,8113.9400000000005,22,0.73,-0.00074
1153618,OIL/USD,35,32,-14.152000000000008,5557.994,164,0.52,-0.00255
1153618,USD/CAD,3,3,3.8799999999998818,15917.640000000001,12,0.5,0.00024
1153618,USD/DKK,1,0,1.9000000000005457,6526.08,2,1.0,0.00029
1153618,USD/JPY,52,73,8197.0,185441436.0,322,0.42,4e-05
1153618,USD/SEK,2,0,16.69999999999891,16227.060000000001,4,1.0,0.00103
1153618,USD/TRY,1,1,-122.27999999999975,13753.45,4,0.5,-0.00889
1153618,XAG/EUR,3,3,-2.80000000000004,1053.3000000000002,12,0.5,-0.00266
1153618,XAU/USD,1862,2372,-106412.22000000131,521089114.354,45318,0.44,-0.0002
1186231,AAP/USD,9,2,167.52999999999793,41631.630000000005,28,0.82,0.00402
1186231,AMZ/USD,1,0,80.71999999999935,4210.22,2,1.0,0.01917
1186231,AUD/CAD,86,82,-4660.0199999999995,6675316.37,657,0.51,-0.0007
1186231,AUD/CHF,72,59,1014.4100000000223,2526457.9,413,0.55,0.0004
1186231,AUD/JPY,144,103,847505.9999999963,1056056456.0,2189,0.58,0.0008
1186231,AUD/NZD,72,62,5455.530000000048,12063026.94,725,0.54,0.00045
1186231,AUD/USD,245,164,-18129.879999999586,44021170.82,2657,0.6,-0.00041
1186231,AUS/AUD,2,1,14.71000000000015,4325.6900000000005,12,0.67,0.0034
1186231,BAB/USD,2,2,104.41000000000005,12783.71,8,0.5,0.00817
1186231,BAG/USD,0,1,-0.7699999999999818,194.82,2,0.0,-0.00395
1186231,BTC/USD,37,23,-17534.743089999898,4967692.40084,655,0.62,-0.00353
1186231,CAD/CHF,64,41,3319.419999999948,5060373.15,523,0.61,0.00066
1186231,CAD/JPY,112,101,-30694.000000006752,770828597.0,964,0.53,-4e-05
1186231,CHF/JPY,55,33,248246.0,580166798.0,565,0.62,0.00043
1186231,DJI/USD,123,81,-15232.984999999986,47091969.865,4992,0.6,-0.00032
1186231,ESP/EUR,0,4,-153.5699999999979,10317.859999999999,10,0.0,-0.01488
1186231,ETH/USD,0,1,-4.225999999999999,29.865,2,0.0,-0.1415
1186231,EUR/AUD,108,73,-13474.989999999998,16596121.2,937,0.6,-0.00081
1186231,EUR/CAD,131,61,-10957.590000000022,21466441.81,1792,0.68,-0.00051
1186231,EUR/CHF,68,82,-32.440000000070995,10648859.55,952,0.45,-0.0
1186231,EUR/GBP,149,103,-4336.3799999999255,10187637.1,1279,0.59,-0.00043
1186231,EUR/JPY,132,92,-2111794.999999987,2256861387.0,1418,0.59,-0.00094
1186231,EUR/MXN,10,4,14600.16000000001,11130976.45,30,0.71,0.00131
1186231,EUR/NOK,0,1,-4.540000000015425,309833.74,4,0.0,-1e-05
1186231,EUR/NZD,76,48,496.7699999996091,20921228.19,873,0.61,2e-05
1186231,EUR/PLN,0,3,-31.499999999992724,131588.4,8,0.0,-0.00024
1186231,EUR/TRY,1,1,-610.2000000000116,137025.6,4,0.5,-0.00445
1186231,EUR/USD,426,305,-44213.74999999987,218847686.25,12877,0.58,-0.0002
1186231,EUR/ZAR,2,1,509.3799999999974,271386.56,8,0.67,0.00188
1186231,FBO/USD,2,1,-1.2900000000004752,25278.52,18,0.67,-5e-05
1186231,FRA/EUR,3,6,-37.480000000003315,25189.719999999998,26,0.33,-0.00149
1186231,GAS/USD,12,8,1596.2499999999998,44078.049999999996,89,0.6,0.03621
1186231,GBP/AUD,91,34,11803.800000001122,44761853.62,1016,0.73,0.00026
1186231,GBP/CAD,91,53,-3339.179999999459,47101947.96,1967,0.63,-7e-05
1186231,GBP/CHF,127,80,-2981.350000000418,10289405.62,909,0.61,-0.00029
1186231,GBP/JPY,261,180,-5230972.999999978,8520543963.0,2984,0.59,-0.00061
1186231,GBP/NZD,96,40,6572.369999999575,22027976.48,942,0.71,0.0003
1186231,GBP/USD,393,278,-31743.34999999902,125051012.44,4698,0.59,-0.00025
1186231,GBP/ZAR,1,0,1235.2900000000081,122761.09999999999,2,1.0,0.01006
1186231,GER/EUR,93,29,-1946.981000000002,2024549.627,575,0.76,-0.00096
1186231,ITA/EUR,1,1,-96.5700000000013,7176.060000000001,6,0.5,-0.01346
1186231,JPI/JPY,3,5,-1250.0000000003492,8366489.0,20,0.38,-0.00015
1186231,NAS/USD,221,102,-832.1880000000285,11965044.565,3089,0.68,-7e-05
1186231,NFL/USD,4,0,591.2100000000028,23341.449999999997,8,1.0,0.02533
1186231,NOK/JPY,2,2,5253.099999999977,2216870.9,10,0.5,0.00237
1186231,NOK/SEK,0,2,-1002.0199999999895,190308.47999999998,6,0.0,-0.00527
1186231,NZD/CAD,49,40,-3906.0000000000687,4225814.44,576,0.55,-0.00092
1186231,NZD/CHF,27,26,-903.7299999999461,1886815.3499999999,249,0.51,-0.00048
1186231,NZD/JPY,76,35,-15353.000000000058,457520128.0,583,0.68,-3e-05
1186231,NZD/USD,137,88,-16769.27000000015,19527728.099999998,1282,0.61,-0.00086
1186231,OIL/USD,20,23,-172.28999999999985,98284.01,198,0.47,-0.00175
1186231,SGD/JPY,0,2,-477.0,374058.0,4,0.0,-0.00128
1186231,SPF/USD,141,80,-15338.949999999973,5655658.37,803,0.64,-0.00271
1186231,TRY/JPY,0,4,-20366.000000000004,4592801.0,8,0.0,-0.00443
1186231,TSL/USD,14,3,406.73000000000707,183221.76,35,0.82,0.00222
1186231,UKI/GBP,2,1,3.2100000000002638,10192.445,6,0.67,0.00031
1186231,UKO/USD,39,14,-18765.15000000007,1927476.6500000001,2304,0.74,-0.00974
1186231,USD/CAD,268,189,-13689.079999999905,66205699.86,3138,0.59,-0.00021
