LOGIN,SYMBOL,TICKET,PROFIT,loss,win,win_rate
51183,USDCAD,2,0.44000000000000483,1,1,0.5
51183,USDCHF,81,434.98,23,58,0.7160493827160493
51183,USDJPY,30,71.95000000000002,7,23,0.7666666666666667
51252,AUDCAD,1,33.77,0,1,1.0
51252,AUDJPY,7,31.490000000000002,3,4,0.5714285714285714
51252,AUDNZD,2,-364.14,1,1,0.5
51252,AUDUSD,19,20.0,10,9,0.47368421052631576
51252,CADJPY,2,44.04,0,2,1.0
51252,EURAUD,1,51.35,0,1,1.0
51252,EURGBP,18,270.04,11,7,0.3888888888888889
51252,EURJPY,8,-128.03,4,4,0.5
51252,EURUSD,287,-754.09,148,139,0.4843205574912892
51252,GBPCHF,6,287.8900000000001,4,2,0.3333333333333333
51252,GBPJPY,70,-207.26,30,40,0.5714285714285714
51252,GBPUSD,153,-2626.0,84,69,0.45098039215686275
51252,NZDUSD,4,-368.0,2,2,0.5
51252,USDCAD,15,-86.69,7,8,0.5333333333333333
51252,USDCHF,11,13.98999999999998,6,5,0.45454545454545453
51252,USDJPY,15,-102.2,10,5,0.3333333333333333
51252,USDMXN,2,-54.07,2,0,0.0
51252,XAGUSD,2,-83.0,2,0,0.0
51252,XAUUSD,13,-273.0,11,2,0.15384615384615385
51303,AUDUSD,33,154.01000000000002,14,19,0.5757575757575758
51303,EURCHF,14,102.91,7,7,0.5
51303,EURGBP,2,-78.67,2,0,0.0
51303,EURJPY,1,-11.8,1,0,0.0
51303,EURUSD,67,-81.26000000000002,43,24,0.3582089552238806
51303,GBPCHF,15,-100.23000000000005,8,7,0.4666666666666667
51303,GBPJPY,1,-56.03,1,0,0.0
51303,GBPUSD,43,-653.67,26,17,0.3953488372093023
51303,NZDUSD,14,-484.85,10,4,0.2857142857142857
51303,USDCAD,15,-90.65,11,4,0.26666666666666666
51303,USDCHF,1,8.05,0,1,1.0
51353,EURGBP,1,-14.93,1,0,0.0
51353,EURUSD,219,-1258.1,78,141,0.6438356164383562
51353,GBPUSD,1,-41.0,1,0,0.0
51353,USDCHF,3,-23.97,2,1,0.3333333333333333
51353,USDJPY,12,-20.080000000000005,4,8,0.6666666666666666
51353,XAGUSD,9,-131.0,5,4,0.4444444444444444
51564,AUDCAD,2,-263.96999999999997,1,1,0.5
51564,AUDUSD,16,235.11,6,10,0.625
51564,CHFJPY,6,134.79999999999998,3,3,0.5
51564,EURAUD,1,258.63,0,1,1.0
51564,EURCAD,5,396.90999999999997,0,5,1.0
51564,EURCHF,26,2348.15,7,19,0.7307692307692307
51564,EURGBP,19,1264.25,5,14,0.7368421052631579
51564,EURJPY,6,57.62,2,4,0.6666666666666666
51564,EURUSD,56,1221.1,23,33,0.5892857142857143
51564,GBPCHF,28,-6109.509999999999,5,23,0.8214285714285714
51564,GBPJPY,5,17746.62,0,5,1.0
51564,GBPUSD,18,-1033.0,9,9,0.5
51564,NZDUSD,1,30.0,0,1,1.0
51564,USDCAD,6,39.47,4,2,0.3333333333333333
51564,USDCHF,16,500.82,7,9,0.5625
51564,USDJPY,3,0.64,1,2,0.6666666666666666
51571,EURCHF,8,-413.38,5,3,0.375
51571,EURUSD,3,-1868.0,2,1,0.3333333333333333
51571,GBPCHF,28,65813.52,11,17,0.6071428571428571
51571,GBPJPY,29,-38582.83,15,14,0.4827586206896552
51571,GBPUSD,51,-49562.0,32,19,0.37254901960784315
51571,USDCHF,31,-2918.3999999999996,20,11,0.3548387096774194
51571,USDJPY,3,-28256.9,3,0,0.0
51754,AUDJPY,3,-54.75,2,1,0.3333333333333333
51754,AUDUSD,4,280.0,0,4,1.0
51754,EURGBP,3,-125.62,1,2,0.6666666666666666
51754,EURJPY,4,-71.37000000000008,3,1,0.25
51754,EURUSD,51,235.0,22,29,0.5686274509803921
51754,GBPCHF,2,177.69,1,1,0.5
51754,GBPJPY,20,-990.6499999999999,8,12,0.6
51754,GBPUSD,76,188.0,34,42,0.5526315789473685
51754,USDCHF,26,-7737.68,16,10,0.38461538461538464
51754,USDJPY,22,-58.52000000000018,9,13,0.5909090909090909
51765,AUDCAD,2,-756.08,1,1,0.5
51765,AUDJPY,7,29.62,0,7,1.0
51765,AUDNZD,1,-444.34,1,0,0.0
51765,AUDUSD,3,-610.0,2,1,0.3333333333333333
51765,CADJPY,1,293.62,0,1,1.0
51765,EURAUD,2,21.669999999999998,0,2,1.0
